alpha_annualized,alpha_tstat_hac,r_squared,idio_vol_annualized,idio_variance_share,observations,beta_dollar,tstat_dollar_hac,beta_carry,tstat_carry_hac,beta_value,tstat_value_hac,beta_momentum,tstat_momentum_hac,currency,date
-0.1120089065,-1.566075862,0.1760044957,0.1560681599,0.8239955043,60,0.7428438782,2.31852145,0.7824329537,4.129968326,0.1483873669,0.3350086129,0.322812198,0.9506070793,ZAR,2005-07-31
-0.01220061183,-0.3640372191,0.3227295321,0.06203020325,0.6772704679,60,0.7358154604,4.68930913,-0.03760531163,-0.3210002612,0.2489889491,2.285503602,-0.1236108564,-1.267915613,AUD,2005-08-31
-0.1070930298,-1.581704089,0.5490554587,0.1363745159,0.4509445413,60,0.9392942191,1.883426089,1.558281993,7.088484639,0.8856656776,2.887616956,-0.4119701847,-1.03033822,BRL,2005-08-31
0.008645267499,0.2767931653,0.02975968906,0.06062734394,0.9702403109,60,-0.09174873348,-0.7344959677,-0.09749540062,-0.7129858767,-0.009631929303,-0.09010568916,-0.09009516585,-1.23139896,CAD,2005-08-31
0.03549911429,1.498661233,0.6298557658,0.04660853525,0.3701442342,60,0.3047686807,2.741988509,-0.720748518,-9.006839631,-0.2004930446,-3.807463667,-0.02067367835,-0.1803966232,CHF,2005-08-31
-0.0657796336,-1.32007763,0.1594712785,0.08486619906,0.8405287215,60,0.03459663168,0.1729238574,0.2706553247,1.207600177,0.3397332658,2.691368825,0.000978706398,0.00537712213,CLP,2005-08-31
0.03508058546,5.672782618,0.9540275703,0.01195452209,0.04597242966,60,-0.9585848752,-46.31729485,-0.01289026213,-1.086070136,0.04189126616,1.905554804,0.02313719805,1.546640575,CNY,2005-08-31
-0.01826837065,-0.4249110783,0.3274357383,0.07130022746,0.6725642617,60,-0.5976561181,-2.484418939,0.4469308424,5.349196473,0.07801134387,0.5855388122,0.003864290439,0.02561716769,COP,2005-08-31
0.07052911331,2.786705016,0.6915460427,0.04786396985,0.3084539573,60,0.6117816556,5.575627747,-0.7614699485,-6.66673405,-0.1875349437,-2.4093009,0.03236147903,0.3450526313,CZK,2005-08-31
0.03445785624,1.711518103,0.7212019848,0.03517778994,0.2787980152,60,0.5048905786,5.856663373,-0.635837976,-12.56913521,-0.08733942978,-1.796043464,-0.007555145815,-0.08493324477,DKK,2005-08-31
0.03165568048,1.571205435,0.7174830591,0.03568433022,0.2825169409,60,0.5193415963,5.787999886,-0.6385112424,-12.57011822,-0.07919113112,-1.584187683,-0.01558795244,-0.1680015847,EUR,2005-08-31
0.03381048901,1.728363183,0.3423073886,0.05136764381,0.6576926114,60,-0.1345557943,-1.433818608,-0.3489725047,-4.990110747,-0.2769203263,-2.701447913,0.0225730036,0.2760755131,GBP,2005-08-31
0.01516704986,7.736551564,0.9945151557,0.003939530119,0.005484844302,60,-0.9391754662,-62.68450752,-0.005631816826,-0.928132634,-0.007635785394,-0.8121038877,-0.00762423038,-0.4782702731,HKD,2005-08-31
0.06624783629,2.950623636,0.482989371,0.05700449045,0.517010629,60,0.538600824,3.79761617,-0.2693359381,-2.753375829,-0.385653592,-3.862547415,0.06068363501,0.5619558425,HUF,2005-08-31
-0.02735165334,-0.8382656163,0.1281907317,0.06248936221,0.8718092683,60,-0.3565604714,-2.449131637,0.06912343521,0.4493169944,0.05795623123,0.7925356168,-0.07401225417,-0.7304502547,ILS,2005-08-31
0.02391520688,1.19360695,0.6376008522,0.03169309741,0.3623991478,60,-0.7111057887,-9.251822537,0.1647393563,1.60159612,-0.04235561919,-0.6897877054,-0.00346167726,-0.0579507874,INR,2005-08-31
-0.01753545296,-0.456439746,0.06886907868,0.07646266084,0.9311309213,60,-0.2688424595,-1.717731524,-0.1030762931,-0.7981663809,0.1167222296,0.861257583,0.2001267267,1.026095293,KRW,2005-08-31
-0.02552382442,-1.042078655,0.4893455244,0.06358059222,0.5106544756,60,-0.8003461712,-5.140776672,0.6017078157,5.473591651,-0.1920366121,-1.877802202,-0.1733337111,-1.306609722,MXN,2005-08-31
0.01891745841,4.825910371,0.9779681819,0.008051399987,0.0220318181,60,-0.9486079392,-75.12357941,0.007130033803,0.729987006,0.007775251238,0.9291509889,0.01187124801,1.022365477,MYR,2005-08-31
0.05441469459,2.019077648,0.5019198694,0.05698187855,0.4980801306,60,0.3290313332,2.98694122,-0.6157178288,-5.830521561,-0.2276022699,-1.768342165,0.08056983464,0.8032248622,NOK,2005-08-31
0.04508169308,1.335268469,0.3232942573,0.06731269496,0.6767057427,60,0.7090971204,3.428464014,-0.2765157141,-2.037382156,0.3258419053,2.328884782,0.108116698,0.8314335398,NZD,2005-08-31
-0.0005705405861,-0.02250805826,0.3201379932,0.06023723847,0.6798620068,60,-0.4190718732,-1.95063418,-0.0758981889,-0.7891716829,0.3747135535,3.469589748,-0.1268870577,-0.7925448441,PHP,2005-08-31
-0.01022779217,-0.20103693,0.2889095036,0.08163568046,0.7110904964,60,0.3428504103,1.870756582,0.422221085,2.839073538,-0.6302825724,-5.830750812,-0.002860531528,-0.01562897087,PLN,2005-08-31
0.003362359624,0.2243302185,0.7570220251,0.03764227798,0.2429779749,60,0.7317275219,9.380910104,-0.6926863992,-8.978960531,-0.03689543473,-0.5146049163,0.01320648775,0.1688471669,SEK,2005-08-31
-0.03483972495,-1.506835195,0.1693737108,0.04009870725,0.8306262892,60,-0.1737386158,-1.999508917,-0.182237401,-2.247383559,0.1424694559,2.180893175,-0.07104350523,-0.8795177245,THB,2005-08-31
-4.975299926e-08,-0.008254809528,0.999999898,1.738504029e-05,1.020291541e-07,60,-0.9628924326,-15773.90466,-1.281443294e-05,-0.4240286304,4.662454035e-05,1.009705277,-3.594984482e-07,-0.02428850815,USD,2005-08-31
-0.1048422609,-1.50023598,0.1725806145,0.156408012,0.8274193855,60,0.7736756057,2.384648438,0.7238350261,3.789620224,0.1897370277,0.4283286644,0.3133403263,0.9292812119,ZAR,2005-08-31
-0.002881677471,-0.08510269086,0.2896798174,0.06153727877,0.7103201826,60,0.6899699606,4.269241104,-0.03027121107,-0.2477450408,0.2331831016,2.087256819,-0.1037028051,-1.073944922,AUD,2005-09-30
-0.1167942753,-1.691671639,0.5550614908,0.1373947497,0.4449385092,60,1.008220717,2.082304542,1.61065915,7.381543533,0.9017231199,2.940306191,-0.3742757591,-0.9609757683,BRL,2005-09-30
0.01277249352,0.3929026512,0.0261379368,0.06124419258,0.9738620632,60,-0.1089665753,-0.8354163768,-0.08551018549,-0.6334520078,-0.01668989424,-0.1590630152,-0.07277303501,-1.017186073,CAD,2005-09-30
0.02993665266,1.274240645,0.6364174566,0.04644972681,0.3635825434,60,0.3318746725,2.731053966,-0.7258597814,-9.042717025,-0.191053701,-3.359427968,-0.03327084819,-0.2871734233,CHF,2005-09-30
-0.06998935136,-1.394796007,0.16717387,0.08479625028,0.83282613,60,0.06210098868,0.3189203127,0.2865748226,1.289074182,0.3467461898,2.786702058,0.01070757145,0.05932190281,CLP,2005-09-30
0.03598282438,5.891366608,0.9537576241,0.01186838388,0.04624237592,60,-0.9636234118,-48.14596926,-0.01387827975,-1.145161899,0.04037220741,1.870494676,0.02341163617,1.585639719,CNY,2005-09-30
-0.02155208591,-0.489358911,0.3241876126,0.07112408091,0.6758123874,60,-0.5798264223,-2.376128171,0.4490883075,5.425467644,0.08354949831,0.6275658565,0.00146520579,0.009933026088,COP,2005-09-30
0.07096847206,2.710477406,0.6919195919,0.04806993953,0.3080804081,60,0.6066260766,5.305666227,-0.7695996977,-6.772640998,-0.188224094,-2.379318653,0.02504952257,0.2677751012,CZK,2005-09-30
0.03263100221,1.601946502,0.7220943529,0.03542004508,0.2779056471,60,0.5123710939,5.73916586,-0.6415413385,-12.79020206,-0.08421269482,-1.685022658,-0.01561024123,-0.1753068046,DKK,2005-09-30
0.02990733033,1.468936076,0.7187874089,0.03587688041,0.2812125911,60,0.5266170409,5.657663639,-0.6436400685,-12.79908242,-0.07620093731,-1.483843822,-0.02297619712,-0.2477095088,EUR,2005-09-30
0.02724534249,1.354700201,0.3379472366,0.05082846483,0.6620527634,60,-0.1013717647,-1.035491913,-0.3516310703,-4.899245217,-0.2658017657,-2.542165316,0.01098956894,0.1338785597,GBP,2005-09-30
0.01485970535,7.707677183,0.9941634324,0.003991553146,0.005836567587,60,-0.9369412043,-61.52176814,-0.003829206994,-0.6218324378,-0.007128017934,-0.7655698885,-0.006290585601,-0.3964533398,HKD,2005-09-30
0.06523521504,2.871540613,0.4644344169,0.05960359635,0.5355655831,60,0.5341361693,3.916875321,-0.2968730302,-3.04929901,-0.3837592599,-3.889161463,0.03248999957,0.2935520026,HUF,2005-09-30
-0.03155577842,-0.9367816439,0.1207229303,0.06261015742,0.8792770697,60,-0.3370695034,-2.202191407,0.0624414181,0.4014200392,0.06510915595,0.8650917496,-0.086277318,-0.8484690521,ILS,2005-09-30
0.02440964157,1.18529509,0.6333204364,0.03168322972,0.3666795636,60,-0.7139750875,-8.975239985,0.1638918054,1.60155888,-0.04318605224,-0.7023438874,-0.003609266291,-0.0608142898,INR,2005-09-30
-0.0203805946,-0.5192301455,0.06466694466,0.07645562482,0.9353330553,60,-0.2551690922,-1.614627605,-0.1062315135,-0.8243889549,0.1215539329,0.9027167495,0.1931568988,0.9990846476,KRW,2005-09-30
-0.01979394217,-0.8124981157,0.4994612967,0.06297700873,0.5005387033,60,-0.831458024,-5.276696218,0.5979428191,5.566432216,-0.2017003504,-2.003739979,-0.1691477979,-1.297631652,MXN,2005-09-30
0.01895218992,4.767652342,0.9770805269,0.008096956605,0.02291947307,60,-0.9493110793,-76.11259945,0.005650637894,0.6343599289,0.007726306697,0.9467440326,0.01047870887,0.9809142938,MYR,2005-09-30
0.051972522,1.882776012,0.5033862862,0.05732036459,0.4966137138,60,0.3386939672,2.930924099,-0.6242974467,-5.90504213,-0.2234160754,-1.712383119,0.06887173223,0.6861470466,NOK,2005-09-30
0.05251969543,1.46988262,0.3052087146,0.06639159214,0.6947912854,60,0.6691125483,3.14564291,-0.2802652594,-2.090122992,0.3132898112,2.201534488,0.1146580856,0.920234528,NZD,2005-09-30
